00:00:00,7e0:01:0f,7e0:01:42,7e0:01:0d,7e0:01:10,7e0:01:0b,7e1:15:1e,7e0:01:0c,7e0:01:04
88 a0 02 00,36,37 e4,30,0f 83,86,,1b 20,
a1 a4 02 00,,37 e4,32,0f 5c,84,,1c 24,89
b6 a8 02 00,36,,34,0d 39,7b,,1d 30,81
cc ac 02 00,36,37 f7,,08 60,72,,1e 50,67
e0 b0 02 00,36,37 e4,34,,6a,,18 94,6b
fc b4 02 00,35,37 e4,35,07 8f,,,15 50,72
38 b5 02 00,35,37 e4,35,07 92,,,15 4c,75
29 b9 02 00,35,37 f7,36,07 b6,67,,14 90,4e
11 bd 02 00,35,37 f7,35,07 84,65,,13 cc,34
f8 c0 02 00,35,37 e4,34,07 63,64,,13 6c,35
e0 c4 02 00,34,37 f7,34,07 39,64,,13 38,3a
c8 c8 02 00,34,37 f7,33,07 0d,64,,13 a4,61
b1 cc 02 00,34,37 f7,33,07 0a,64,,13 9c,66
98 d0 02 00,34,37 f7,33,09 03,65,,16 3c,97
81 d4 02 00,34,37 f7,33,0a 80,6d,,17 18,8b
68 d8 02 00,34,37 f7,33,08 47,6a,,15 18,76
50 dc 02 00,34,37 f7,33,0b 3d,6d,,17 d0,9d
38 e0 02 00,34,37 f7,34,0d 36,79,,18 fc,8e
20 e4 02 00,34,37 f7,34,08 d7,6f,,14 4c,80
08 e8 02 00,34,37 f7,34,08 07,6a,,14 14,77
f0 eb 02 00,33,38 0b,34,07 f6,67,,15 64,80
d8 ef 02 00,33,37 f7,33,08 15,68,,13 ec,91
c0 f3 02 00,33,37 f7,33,09 0c,6a,,13 e8,9d
a8 f7 02 00,33,37 f7,33,09 b0,6b,,15 44,9a
90 fb 02 00,33,37 e4,33,07 d2,6a,,13 28,37
78 ff 02 00,33,37 e4,31,08 7e,67,,11 a0,00
60 03 03 00,33,37 a9,30,08 a5,67,,12 88,65
47 07 03 00,33,38 0b,2f,07 e3,67,,13 a8,77
30 0b 03 00,33,37 82,2f,06 3a,66,,12 08,52
18 0f 03 00,33,37 f7,2d,07 81,64,,0f c8,06
00 13 03 00,33,37 96,2b,07 9a,64,,0f d4,07
e7 16 03 00,33,37 a9,28,06 9e,64,,0e 00,11
d0 1a 03 00,33,37 96,25,06 71,63,,0d d0,0b
b7 1e 03 00,33,37 f7,22,07 ab,63,,11 50,00
a4 22 03 00,33,37 d0,1e,08 07,64,,10 cc,03
8d 26 03 00,33,37 a9,19,06 02,64,,0d 40,20
73 2a 03 00,33,37 82,17,04 83,63,,0c 20,35
5c 2e 03 00,33,37 e4,15,05 d6,63,,0d 94,78
44 32 03 00,33,37 5b,14,09 33,64,,14 2c,88
2b 36 03 00,33,38 0b,14,0b 0b,6b,,16 8c,a1
13 3a 03 00,33,37 f7,14,0b 3a,75,,14 7c,ab
fb 3d 03 00,33,37 f7,15,0f d9,80,,19 c8,9c
e3 41 03 00,34,37 f7,16,0f 59,87,,1a 84,91
ca 45 03 00,34,37 f7,17,0f f5,86,,1b 50,95
b2 49 03 00,34,37 f7,17,10 61,8a,,1b b0,8f
9a 4d 03 00,34,38 0b,18,10 7d,8a,,1b f0,90
83 51 03 00,34,37 f7,19,0e aa,84,,18 48,a2
6b 55 03 00,35,37 f7,1a,0f e7,87,,19 44,a1
53 59 03 00,35,38 1e,1a,10 e7,8c,,1a 18,a1
3a 5d 03 00,35,37 f7,1b,11 77,91,,1a dc,9b
22 61 03 00,36,38 0b,1d,12 4d,91,,1c 04,96
0a 65 03 00,36,37 f7,1e,12 ab,91,,1c d4,93
f3 68 03 00,37,37 f7,1f,13 41,92,,1d c0,8f
da 6c 03 00,37,38 0b,1f,13 d4,94,,1e 84,8d
c6 70 03 00,37,37 f7,20,14 97,95,,1f 54,89
af 74 03 00,38,37 e4,21,14 d4,94,,1f c4,86
97 78 03 00,38,37 a9,22,15 1c,94,,20 88,81
7e 7c 03 00,38,37 f7,22,13 33,8e,,20 ac,78
66 80 03 00,38,37 e4,22,0e b8,86,,1c 38,89
53 84 03 00,38,37 d0,21,0a 9c,7a,,14 64,a7
35 88 03 00,38,37 d0,21,0a ea,76,,13 f0,b1
1d 8c 03 00,38,37 e4,21,0c 21,79,,14 b4,b4
05 90 03 00,38,37 e4,21,0c cd,7d,,15 04,ba
ed 93 03 00,38,37 e4,22,0d 20,80,,15 10,b5
d5 97 03 00,38,37 d0,22,0c f9,81,,14 e0,b4
bd 9b 03 00,37,37 f7,24,0d 8c,82,,15 88,b1
a6 9f 03 00,38,37 d0,24,0d dd,84,,15 f4,ad
8d a3 03 00,38,37 f7,25,0e 4f,86,,16 48,ac
74 a7 03 00,38,37 e4,26,0e 70,86,,16 b0,ab
5d ab 03 00,38,37 e4,26,0e 7e,87,,16 f0,a9
45 af 03 00,38,37 f7,27,0e f0,88,,17 54,a8
2c b3 03 00,38,37 f7,27,0f 3b,89,,17 ac,a6
15 b7 03 00,38,37 f7,28,0f 5f,8b,,17 f4,a5
fc ba 03 00,38,37 e4,28,0f 6a,8b,,18 50,a4
e4 be 03 00,38,37 e4,29,0e 2b,88,,18 30,99
cc c2 03 00,38,37 f7,29,0d a5,85,,18 3c,9a
b3 c6 03 00,38,37 e4,28,0c 1b,80,,18 34,91
9b ca 03 00,38,37 e4,28,0c 21,7e,,17 a4,95
83 ce 03 00,38,37 f7,27,0b 4d,7b,,17 7c,91
6b d2 03 00,37,37 f7,27,0b 4d,7b,,17 34,92
5a d6 03 00,37,37 e4,26,09 be,77,,16 20,77
41 da 03 00,37,37 d0,23,07 42,6a,,13 a0,34
29 de 03 00,37,37 96,20,07 a6,67,,11 28,23
11 e2 03 00,37,37 f7,1c,06 1b,66,,0f 70,35
f9 e5 03 00,36,37 82,19,04 ea,64,,0c fc,24
e0 e9 03 00,36,37 d0,15,03 f5,63,,0b a8,4c
c8 ed 03 00,36,37 96,12,05 2a,63,,0d e4,66
b0 f1 03 00,36,37 96,0e,05 1c,63,,0e e4,6b
97 f5 03 00,36,37 d0,0a,06 b9,64,,10 f4,8f
5d fd 03 00,36,37 a9,09,0b 13,78,,,93
78 01 04 00,36,37 e4,09,0b d3,77,,15 20,
8c 05 04 00,,37 e4,0a,0a 6f,79,,16 8c,a0
a1 09 04 00,36,,0a,06 d0,6a,,15 48,80
bb 0d 04 00,36,37 d0,,04 67,66,,0f 48,76
d1 11 04 00,36,37 a9,09,,63,,0c a4,64
eb 15 04 00,36,37 f7,07,05 7a,,,0d 00,94
27 16 04 00,36,37 d0,07,07 e3,,,10 34,84
18 1a 04 00,36,37 a9,07,06 7f,67,,0d ac,68
ff 1d 04 00,36,37 34,08,04 06,64,,0c 3c,64
e7 21 04 00,36,37 96,07,03 b8,63,,0c 48,68
cf 25 04 00,36,37 96,05,03 dc,63,,0c 3c,6c
b6 29 04 00,36,37 6f,03,03 c3,63,,0c 1c,72
9f 2d 04 00,36,37 96,01,03 e2,63,,0c 34,72
87 31 04 00,36,37 96,00,03 f2,63,,0c 34,72
6e 35 04 00,36,37 e4,00,04 22,63,,0c b0,63
56 39 04 00,36,37 a9,00,03 d1,63,,0c 40,5b
3e 3d 04 00,36,37 a9,00,03 c3,62,,0c 30,5c
26 41 04 00,36,37 d0,00,03 c9,62,,0c 30,5b
0f 45 04 00,36,37 e4,00,03 bb,62,,0c 34,5b
f6 48 04 00,36,37 e4,00,03 b5,62,,0c 38,5a
de 4c 04 00,36,37 f7,00,03 9f,62,,0c 38,5b
c6 50 04 00,36,37 f7,00,03 9c,62,,0c 34,5b
ae 54 04 00,36,37 e4,00,03 ad,62,,0c 38,5b
96 58 04 00,36,37 d0,00,03 aa,62,,0c 3c,5a
7e 5c 04 00,36,37 a9,00,03 b0,62,,0c 34,5a
66 60 04 00,36,37 e4,00,03 aa,62,,0c 34,00
4d 64 04 00,36,35 ad,00,00 00,62,,01 54,00
35 68 04 00,36,35 fb,00,00 00,62,,00 00,00
fc 6f 04 00,,35 38,00,00 00,62,,00 00,00
11 74 04 00,36,,00,00 00,62,,00 00,00
25 78 04 00,36,34 fd,,00 00,62,,00 00,00
3a 7c 04 00,36,34 88,00,,61,,00 00,00
af 93 04 00,,,,00 00,,,,
a0 97 04 00,36,,,,,,00 00,
60 a3 04 00,,,,,61,,,00
51 a7 04 00,,,,,,,,
5b a7 04 00,,,,,,,,
43 ab 04 00,,,,,,,,
2b af 04 00,,,,,,,,
13 b3 04 00,,,,,,,,
fb b6 04 00,,,,,,,,
e3 ba 04 00,,,,,,,,
cb be 04 00,,,,,,,,
b3 c2 04 00,,,,,,,,
9b c6 04 00,,,,,,,,
83 ca 04 00,,,,,,,,
6b ce 04 00,,,,,,,,
53 d2 04 00,,,,,,,,
3c d6 04 00,,,,,,,,
24 da 04 00,,,,,,,,
0c de 04 00,,,,,,,,
f4 e1 04 00,,,,,,,,
dc e5 04 00,,,,,,,,
c4 e9 04 00,,,,,,,,
ac ed 04 00,,,,,,,,
94 f1 04 00,,,,,,,,
7c f5 04 00,,,,,,,,
64 f9 04 00,,,,,,,,
4c fd 04 00,,,,,,,,
35 01 05 00,,,,,,,,
1d 05 05 00,,,,,,,,
05 09 05 00,,,,,,,,
ed 0c 05 00,,,,,,,,
d5 10 05 00,,,,,,,,
bd 14 05 00,,,,,,,,
a5 18 05 00,,,,,,,,
8d 1c 05 00,,,,,,,,
75 20 05 00,,,,,,,,
5d 24 05 00,,,,,,,,
45 28 05 00,,,,,,,,
2d 2c 05 00,,,,,,,,
15 30 05 00,,,,,,,,
fe 33 05 00,,,,,,,,
e6 37 05 00,,,,,,,,
ce 3b 05 00,,,,,,,,
b6 3f 05 00,,,,,,,,
9e 43 05 00,,,,,,,,
86 47 05 00,,,,,,,,
6e 4b 05 00,,,,,,,,
56 4f 05 00,,,,,,,,
3e 53 05 00,,,,,,,,
26 57 05 00,,,,,,,,
0e 5b 05 00,,,,,,,,
f7 5e 05 00,,,,,,,,
df 62 05 00,,,,,,,,
c7 66 05 00,,,,,,,,
af 6a 05 00,,,,,,,,
97 6e 05 00,,,,,,,,
7f 72 05 00,,,,,,,,
67 76 05 00,,,,,,,,
4f 7a 05 00,,,,,,,,
37 7e 05 00,,,,,,,,
1f 82 05 00,,,,,,,,
07 86 05 00,,,,,,,,
ef 89 05 00,,,,,,,,
d8 8d 05 00,,,,,,,,
c0 91 05 00,,,,,,,,
a8 95 05 00,,,,,,,,
90 99 05 00,,,,,,,,
78 9d 05 00,,,,,,,,
60 a1 05 00,,,,,,,,
48 a5 05 00,,,,,,,,
30 a9 05 00,,,,,,,,
18 ad 05 00,,,,,,,,
00 b1 05 00,,,,,,,,
e8 b4 05 00,,,,,,,,
d0 b8 05 00,,,,,,,,
b9 bc 05 00,,,,,,,,
a1 c0 05 00,,,,,,,,
89 c4 05 00,,,,,,,,
71 c8 05 00,,,,,,,,
59 cc 05 00,,,,,,,,
41 d0 05 00,,,,,,,,
29 d4 05 00,,,,,,,,
11 d8 05 00,,,,,,,,
f9 db 05 00,,,,,,,,
e1 df 05 00,,,,,,,,
c9 e3 05 00,,,,,,,,
b1 e7 05 00,,,,,,,,
9a eb 05 00,,,,,,,,
82 ef 05 00,,,,,,,,
6a f3 05 00,,,,,,,,
52 f7 05 00,,,,,,,,
3a fb 05 00,,,,,,,,
22 ff 05 00,,,,,,,,
0a 03 06 00,,,,,,,00 00,
f6 06 06 00,,,,,,,00 00,
c5 0e 06 00,35,,,,,,00 00,00
84 1a 06 00,,2b 72,00,05 9e,,,,00
68 22 06 00,35,32 9f,00,,,,0c c4,
37 2e 06 00,,37 6f,02,04 67,63,,,7e
1a 36 06 00,36,,05,03 f5,,,0c 40,
e9 41 06 00,,37 5b,,03 dc,62,,,70
ac 4d 06 00,36,,00,,63,,0c 24,
95 55 06 00,,37 6f,00,04 40,,,0c 3c,77
79 5d 06 00,36,,00,,,,0c 40,5e
6b 65 06 00,36,32 51,,00 00,62,,,00
3a 71 06 00,36,32 2a,00,,,,00 00,
1d 79 06 00,,31 b5,00,,,,,00
c5 88 06 00,,,,00 00,,,,
cf 88 06 00,,,,,,,,
b7 8c 06 00,,,,,,,,
9f 90 06 00,,,,,,,,
87 94 06 00,,,,,,,,
6f 98 06 00,,,,,,,,
57 9c 06 00,,,,,,,,
40 a0 06 00,,,,,,,,
28 a4 06 00,,,,,,,,
10 a8 06 00,,,,,,,,
f8 ab 06 00,,,,,,,,
e0 af 06 00,,,,,,,,
c8 b3 06 00,,,,,,,,
b0 b7 06 00,,,,,,,,
98 bb 06 00,,,,,,,,
80 bf 06 00,,,,,,,,
68 c3 06 00,,,,,,,,
50 c7 06 00,,,,,,,,
39 cb 06 00,,,,,,,,
21 cf 06 00,,,,,,,,
09 d3 06 00,,,,,,,,
f1 d6 06 00,,,,,,,,
d9 da 06 00,,,,,,,,
c1 de 06 00,,,,,,,,
a9 e2 06 00,,,,,,,,
91 e6 06 00,,,,,,,,
79 ea 06 00,,,,,,,,
61 ee 06 00,,,,,,,,
49 f2 06 00,,,,,,,,
31 f6 06 00,,,,,,,,
1a fa 06 00,,,,,,,,
02 fe 06 00,,,,,,,,
ea 01 07 00,,,,,,,,
d2 05 07 00,,,,,,,,
ba 09 07 00,,,,,,,,
a2 0d 07 00,,,,,,,,
8a 11 07 00,,,,,,,,
72 15 07 00,,,,,,,,
5a 19 07 00,,,,,,,,
42 1d 07 00,,,,,,,,
2b 21 07 00,,,,,,,,
13 25 07 00,,,,,,,,
fb 28 07 00,,,,,,,,
e3 2c 07 00,,,,,,,,
cb 30 07 00,,,,,,,,
b3 34 07 00,,,,,,,,
9b 38 07 00,,,,,,,,
83 3c 07 00,,,,,,,,
6b 40 07 00,,,,,,,,
53 44 07 00,,,,,,,,
3b 48 07 00,,,,,,,,
23 4c 07 00,,,,,,,,
0c 50 07 00,,,,,,,,
f4 53 07 00,,,,,,,,
dc 57 07 00,,,,,,,,
c4 5b 07 00,,,,,,,,
ac 5f 07 00,,,,,,,,
94 63 07 00,,,,,,,,
7c 67 07 00,,,,,,,,
64 6b 07 00,,,,,,,,
4c 6f 07 00,,,,,,,,
34 73 07 00,,,,,,,,
1c 77 07 00,,,,,,,,
05 7b 07 00,,,,,,,,
ed 7e 07 00,,,,,,,,
d5 82 07 00,,,,,,,,
bd 86 07 00,,,,,,,,
a5 8a 07 00,,,,,,,,
8d 8e 07 00,,,,,,,,
75 92 07 00,,,,,,,,
5d 96 07 00,,,,,,,,
45 9a 07 00,,,,,,,,
2d 9e 07 00,,,,,,,,
15 a2 07 00,,,,,,,,
fd a5 07 00,,,,,,,,
e6 a9 07 00,,,,,,,,
ce ad 07 00,,,,,,,,
b6 b1 07 00,,,,,,,,
9e b5 07 00,,,,,,,,
86 b9 07 00,,,,,,,,
6e bd 07 00,,,,,,,,
56 c1 07 00,,,,,,,,
3e c5 07 00,,,,,,,,
26 c9 07 00,,,,,,,,
0e cd 07 00,,,,,,,,
f7 d0 07 00,,,,,,,,
df d4 07 00,,,,,,,,
c7 d8 07 00,,,,,,,,
af dc 07 00,,,,,,,,
97 e0 07 00,,,,,,,,
7f e4 07 00,,,,,,,,
67 e8 07 00,,,,,,,,
4f ec 07 00,,,,,,,,
37 f0 07 00,,,,,,,,
1f f4 07 00,,,,,,,,
07 f8 07 00,,,,,,,,
ef fb 07 00,,,,,,,,
d8 ff 07 00,,,,,,,,
c0 03 08 00,,,,,,,,
a8 07 08 00,,,,,,,,
90 0b 08 00,,,,,,,,
78 0f 08 00,,,,,,,,
60 13 08 00,,,,,,,,
48 17 08 00,,,,,,,,
30 1b 08 00,,,,,,,,
18 1f 08 00,,,,,,,,
00 23 08 00,,,,,,,,
e8 26 08 00,,,,,,,,
d0 2a 08 00,,,,,,,,
b9 2e 08 00,,,,,,,,
a1 32 08 00,,,,,,,,
89 36 08 00,,,,,,,,
71 3a 08 00,,,,,,,,
59 3e 08 00,,,,,,,,
41 42 08 00,,,,,,,,
29 46 08 00,,,,,,,,
11 4a 08 00,,,,,,,,
f9 4d 08 00,,,,,,,,
e1 51 08 00,,,,,,,,
c9 55 08 00,,,,,,,,
b2 59 08 00,,,,,,,,
9a 5d 08 00,,,,,,,00 00,
6b 65 08 00,,,,,62,,00 00,00
85 65 08 00,,,,,,,03 7c,29
75 69 08 00,35,,,,,,0d 28,5b
65 6d 08 00,35,31 3f,,,,,0b e0,66
57 71 08 00,35,34 d6,00,,,,0c 3c,64
47 75 08 00,36,36 70,00,05 19,,,0c 28,65
38 79 08 00,36,37 5b,00,04 38,63,,0c 34,64
1f 7d 08 00,36,37 82,00,03 f2,63,,0c 2c,66
08 81 08 00,36,37 82,00,03 be,62,,0c 3c,65
f0 84 08 00,36,37 96,00,03 bb,62,,0c 2c,66
d7 88 08 00,36,37 96,00,03 ad,62,,0c 3c,63
bf 8c 08 00,36,37 82,00,03 a5,62,,0c 34,63
a8 90 08 00,36,37 5b,00,03 a5,62,,0c 3c,62
91 94 08 00,36,37 6f,00,03 9f,62,,0c 38,62
78 98 08 00,36,37 5b,00,03 a7,62,,0c 34,62
60 9c 08 00,36,37 5b,00,03 c0,62,,0c 38,61
47 a0 08 00,36,37 82,00,03 a7,62,,0c 2c,62
2f a4 08 00,36,37 6f,00,03 b8,62,,0c 30,61
17 a8 08 00,36,37 5b,00,03 c3,62,,0c 38,60
ff ab 08 00,36,37 6f,00,03 c6,62,,0c 38,60
e7 af 08 00,36,37 6f,00,03 c3,62,,0c 28,61
cf b3 08 00,36,37 5b,00,03 b0,62,,0c 3c,60
b7 b7 08 00,36,37 6f,00,03 ad,62,,0c 34,60
9f bb 08 00,36,37 5b,00,03 b5,62,,0c 30,61
86 bf 08 00,36,37 96,00,03 be,62,,0c 38,60
6f c3 08 00,36,37 96,00,03 b0,62,,0c 30,60
57 c7 08 00,37,37 a9,00,03 ad,62,,0c 3c,5f
3f cb 08 00,37,37 d0,00,03 be,62,,0c 30,60
27 cf 08 00,37,37 d0,00,03 be,62,,0c 2c,60
0f d3 08 00,37,37 d0,00,03 be,62,,0c 34,5f
f7 d6 08 00,37,37 96,00,03 8c,62,,0c 3c,5e
de da 08 00,37,37 82,00,03 be,62,,0c 38,5e
c6 de 08 00,37,37 6f,00,03 c9,62,,0c 54,5a
ae e2 08 00,37,37 6f,00,03 c0,62,,0c 3c,59
9c e6 08 00,37,37 6f,00,03 c0,62,,0c 34,5b
84 ea 08 00,37,37 82,00,03 97,62,,0c 2c,5d
6b ee 08 00,37,37 96,00,03 b5,62,,0c 40,5b
53 f2 08 00,37,37 82,00,03 9f,62,,0c 30,5c
3b f6 08 00,37,37 a9,00,03 c6,62,,0c 3c,5a
23 fa 08 00,37,37 a9,00,03 9c,62,,0c 30,5b
0b fe 08 00,37,37 a9,00,03 9c,62,,0c 2c,5b
f4 01 09 00,37,37 d0,00,03 b3,62,,0c 30,5b
db 05 09 00,37,37 a9,00,03 be,62,,0c 34,5a
c3 09 09 00,37,37 d0,00,03 aa,62,,0c 38,5a
ab 0d 09 00,37,37 82,00,03 bb,62,,0c 34,5a
93 11 09 00,37,37 82,00,03 b0,62,,0c 34,5a
7b 15 09 00,37,37 82,00,03 bb,62,,0c 34,5a
63 19 09 00,37,37 82,00,03 c3,62,,0c 34,5a
4b 1d 09 00,37,37 6f,00,03 b8,62,,0c 34,5a
32 21 09 00,37,37 96,00,03 b3,62,,0c 2c,5b
1b 25 09 00,37,37 82,00,03 b0,62,,0c 38,59
02 29 09 00,37,37 82,00,03 b8,62,,0c 3c,59
ea 2c 09 00,37,37 82,00,03 9c,62,,0c 34,5a
d3 30 09 00,37,37 6f,00,03 94,62,,0c 2c,5a
bb 34 09 00,37,37 82,00,03 c6,62,,0c 38,59
a3 38 09 00,37,37 6f,00,03 97,62,,0c 2c,5a
8b 3c 09 00,38,37 82,00,03 b5,62,,0c 34,59
72 40 09 00,38,37 82,00,03 9f,62,,0c 38,58
5a 44 09 00,38,37 a9,00,03 a7,62,,0c 34,59
42 48 09 00,38,37 d0,00,03 cc,62,,0c 38,58
2a 4c 09 00,38,37 d0,00,03 a7,62,,0c 34,58
12 50 09 00,38,37 d0,00,03 b8,62,,0c 34,57
d5 57 09 00,38,37 96,00,03 b0,62,,0c 34,
e8 5b 09 00,,37 e4,00,03 be,62,,0c 3c,57
fd 5f 09 00,38,,00,03 b0,62,,0c 34,57
12 64 09 00,38,37 a9,,03 c0,62,,0c 18,5b
27 68 09 00,38,37 a9,00,,62,,0c 40,59
43 6c 09 00,38,37 a9,00,03 6d,,,0b 8c,74
7e 6c 09 00,38,37 82,00,04 09,,,0c 40,76
6f 70 09 00,38,37 d0,02,04 03,62,,0c 44,6f
57 74 09 00,38,37 d0,04,06 4d,63,,0e a0,7a
3f 78 09 00,38,37 d0,06,06 02,64,,0f 90,82
27 7c 09 00,38,37 e4,07,05 af,64,,10 18,7b
0e 80 09 00,38,37 a9,08,05 f7,64,,11 0c,83
f8 83 09 00,38,37 e4,0a,06 5b,64,,12 0c,83
df 87 09 00,38,37 d0,0a,06 a9,65,,12 ec,8c
c7 8b 09 00,39,37 96,0a,07 26,66,,13 24,93
af 8f 09 00,39,37 82,0b,08 f3,68,,15 68,97
97 93 09 00,39,37 82,0c,09 54,6d,,16 b0,8c
7f 97 09 00,39,37 96,0e,09 fd,71,,18 34,81
67 9b 09 00,39,37 82,0e,08 07,6e,,15 2c,4d
4e 9f 09 00,39,37 82,0c,06 55,68,,13 74,6a
36 a3 09 00,39,37 82,0b,05 45,66,,10 b4,39
1f a7 09 00,38,37 6f,09,05 27,64,,0f a8,69
06 ab 09 00,39,37 96,08,05 fd,63,,0f ac,a0
ee ae 09 00,39,37 82,09,08 0c,67,,12 18,9c
d8 b2 09 00,39,37 82,0c,08 39,69,,13 18,9a
be b6 09 00,39,37 82,10,09 0c,6b,,15 10,99
a6 ba 09 00,39,37 6f,13,0a 03,70,,16 98,91
8f be 09 00,39,37 82,17,0a 46,74,,17 dc,84
76 c2 09 00,39,37 5b,1a,0b 61,79,,1a d8,77
5e c6 09 00,39,37 96,1c,0a 03,77,,1b 68,49
46 ca 09 00,39,37 82,1d,09 62,70,,1a c0,3a
2e ce 09 00,38,37 6f,1e,09 df,70,,1b 9c,46
16 d2 09 00,38,37 82,20,08 0a,6e,,14 78,55
fd d5 09 00,38,37 96,20,06 66,66,,0f 48,07
e5 d9 09 00,38,37 82,20,07 63,65,,0f f8,01
ce dd 09 00,38,37 82,1f,07 76,65,,0f cc,01
b6 e1 09 00,38,37 82,1e,07 23,65,,0f 54,04
9f e5 09 00,37,37 6f,1e,08 dd,65,,12 64,75
8a e9 09 00,37,37 82,20,07 5b,67,,12 04,58
