00:00:00,7e0:01:0f,7e0:01:42,7e0:01:0d,7e0:01:10,7e0:01:0b,7e1:15:1e,7e0:01:0c,7e0:01:04
ec 52 0b 00,35,37 f7,,0b b7,7e,,13 ec,b2
01 57 0b 00,35,37 f7,31,,7d,,14 30,b0
1d 5b 0b 00,35,37 d0,31,0a 64,,,13 94,9a
59 5b 0b 00,35,37 d0,2f,07 c4,,,12 e8,66
4a 5f 0b 00,35,37 d0,2d,06 13,69,,11 dc,68
32 63 0b 00,35,37 a9,2c,05 9e,67,,11 a0,69
1a 67 0b 00,35,37 d0,2a,05 6c,66,,10 ec,76
01 6b 0b 00,34,37 d0,28,04 ad,65,,0f 1c,3e
e9 6e 0b 00,34,37 d0,24,06 48,63,,0d f0,0d
d1 72 0b 00,34,37 a9,20,07 4f,64,,10 44,00
b9 76 0b 00,34,37 e4,1c,06 a6,65,,0e e8,1f
a1 7a 0b 00,34,37 d0,19,05 96,65,,0f 34,63
88 7e 0b 00,34,37 d0,17,06 63,65,,12 10,74
70 82 0b 00,34,37 e4,17,07 a0,67,,17 44,73
58 86 0b 00,34,37 f7,17,0a 46,6f,,18 34,94
40 8a 0b 00,34,37 d0,18,0c 66,7b,,17 f4,8b
29 8e 0b 00,35,37 e4,1a,0c 7c,80,,19 a0,86
10 92 0b 00,35,37 e4,1b,0c 42,81,,1a 8c,82
f8 95 0b 00,35,37 d0,1c,0c 3c,81,,1b a0,7e
df 99 0b 00,35,37 e4,1d,0c 53,80,,1c 14,7a
c8 9d 0b 00,35,37 d0,1e,0c 42,7f,,1c 68,75
b0 a1 0b 00,35,37 d0,1e,0b 48,7c,,1c 98,6e
98 a5 0b 00,35,37 f7,1e,0a a4,77,,1c a4,68
80 a9 0b 00,35,37 f7,1e,0a 2f,75,,1c a8,68
67 ad 0b 00,35,37 e4,1e,0a 61,76,,1d 10,67
4f b1 0b 00,35,37 f7,1f,0a 2f,76,,1d 20,62
37 b5 0b 00,35,37 f7,1f,09 f2,73,,1d 30,52
23 b9 0b 00,35,37 d0,1f,0a 16,72,,1d 94,51
0b bd 0b 00,35,37 f7,20,07 6b,70,,17 80,69
f4 c0 0b 00,35,37 f7,21,06 4d,6a,,13 6c,5d
dc c4 0b 00,35,37 f7,21,06 4d,66,,12 b4,43
c4 c8 0b 00,35,37 e4,21,06 58,65,,12 bc,3c
ac cc 0b 00,35,37 d0,22,07 10,64,,12 6c,12
94 d0 0b 00,35,37 d0,21,08 55,66,,12 40,20
7b d4 0b 00,35,37 e4,22,08 65,67,,12 b0,20
63 d8 0b 00,35,37 d0,22,09 7b,68,,13 5c,1b
4b dc 0b 00,35,37 f7,23,09 65,68,,13 34,00
33 e0 0b 00,35,37 d0,22,09 46,68,,13 04,00
1c e4 0b 00,35,37 d0,1e,07 87,67,,0f fc,07
02 e8 0b 00,35,37 82,17,05 0e,65,,0c 64,2f
ea eb 0b 00,35,37 82,11,04 06,63,,0c 0c,5f
d3 ef 0b 00,34,37 a9,11,03 c6,63,,0c 08,5e
bb f3 0b 00,34,37 a9,11,06 9b,63,,0f e8,52
a3 f7 0b 00,34,37 e4,11,07 1b,65,,11 74,69
8a fb 0b 00,34,37 e4,13,07 23,66,,13 88,74
73 ff 0b 00,34,37 e4,14,07 60,68,,15 b4,79
5a 03 0c 00,34,37 f7,15,07 7f,6a,,16 84,73
42 07 0c 00,34,37 e4,17,07 8a,6a,,15 9c,75
2a 0b 0c 00,34,37 e4,18,07 ca,6b,,17 3c,6e
12 0f 0c 00,34,37 f7,19,08 47,6d,,17 bc,6a
f9 12 0c 00,34,37 f7,1a,08 92,6e,,18 ac,65
e1 16 0c 00,34,37 e4,1a,08 49,6e,,18 b0,4f
c9 1a 0c 00,34,38 0b,1a,08 41,6d,,18 c0,45
b2 1e 0c 00,34,37 e4,1a,08 23,6c,,17 b4,43
